scan_id,business,keyword,zoom,cell,lat,lng,dfs_rank,scrapingdog_rank,delta_sd_minus_dfs,dfs_mode,dfs_item_count,sd_item_count,stored_rank_in_app,exact_match
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A1,,,5,6,1,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A2,,,4,6,2,fallback,20,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A3,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A4,,,5,4,-1,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A5,,,5,6,1,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A6,,,5,5,0,fallback,20,20,5,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,A7,,,6,4,-2,fallback,20,20,7,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B1,,,4,6,2,fallback,20,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B2,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B3,,,4,2,-2,fallback,22,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B4,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B5,,,5,4,-1,fallback,22,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B6,,,5,3,-2,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,B7,,,6,5,-1,fallback,20,20,7,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C1,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C2,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C3,,,4,3,-1,fallback,20,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C4,,,4,3,-1,fallback,22,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C5,,,4,3,-1,fallback,20,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C6,,,5,3,-2,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,C7,,,5,3,-2,fallback,20,20,7,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D1,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D2,,,4,4,0,fallback,21,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D3,,,3,3,0,fallback,20,20,3,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D4,,,1,2,1,sta=true,1,20,1,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D5,,,4,2,-2,fallback,20,20,4,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D6,,,,,sta=true,1,20,1,missing
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,D7,,,3,3,0,fallback,20,15,8,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E1,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E2,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E3,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E4,,,4,4,0,fallback,21,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E5,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E6,,,,,sta=true,2,20,20+,missing
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,E7,,,,,sta=true,1,20,1,missing
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F1,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F2,,,4,4,0,fallback,21,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F3,,,4,4,0,fallback,20,20,4,yes
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F4,,,4,4,0,fallback,21,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F5,,,3,2,-1,fallback,21,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F6,,,2,2,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F7,,,2,2,0,fallback,21,20,9,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G1,,,4,5,1,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G2,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G3,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G4,,,4,3,-1,fallback,20,20,6,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G5,,,3,2,-1,fallback,20,20,8,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G6,,,,,sta=true,1,20,1,missing
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G7,,,3,2,-1,fallback,20,20,9,no
