gridLabel,lat,lng,dfs_rank,sd_rank,bd_rank,dfs_count,sd_count,bd_count,all_three_match,app_stored_rank
A1,38.7354825480337,-77.4445995074144,5,6,6,20,20,20,false,6
A2,38.7355029155827,-77.4136745500341,4,6,4,20,20,20,false,5
A3,38.7355151361164,-77.3827495785444,4,4,4,21,20,20,true,4
A4,38.7355192096283,-77.3518246,5,4,4,20,5,20,false,4
A5,38.7355151361164,-77.3208996214556,5,4,4,20,20,20,false,5
A6,38.7355029155827,-77.2899746499659,5,3,4,20,20,20,false,5
A7,38.7354825480337,-77.2590496925856,6,4,5,20,20,20,false,8
B1,38.7113597764373,-77.4445681932813,4,7,4,21,20,20,false,7
B2,38.7113801264235,-77.4136536739212,4,4,4,20,20,20,true,5
B3,38.7113923364195,-77.3827391404807,4,3,3,20,20,20,false,2
B4,38.7113964064188,-77.3518246,4,4,4,20,20,20,true,4
B5,38.7113923364195,-77.3209100595193,5,4,3,20,20,20,false,4
B6,38.7113801264235,-77.2899955260788,5,4,3,20,20,20,false,5
B7,38.7113597764373,-77.2590810067187,6,4,5,20,20,20,false,7
C1,38.6872370048196,-77.4445369167084,4,5,4,20,20,20,false,4
C2,38.6872573372549,-77.4136328228484,4,4,3,20,20,20,false,4
C3,38.6872695367203,-77.3827287149371,4,3,2,20,20,20,false,4
C4,38.6872736032094,-77.3518246,4,4,1,20,20,20,false,4
C5,38.6872695367203,-77.3209204850629,4,4,3,22,20,20,false,4
C6,38.6872573372549,-77.2900163771516,5,3,3,20,20,20,false,4
C7,38.6872370048196,-77.2591122832916,5,3,3,20,20,20,false,6
D1,38.6631142331807,-77.4445056776467,4,5,4,20,20,20,false,4
D2,38.6631345480768,-77.4136119967832,4,3,3,20,20,20,false,4
D3,38.6631467370187,-77.3827183018972,2,2,2,20,20,20,true,3
D4,38.6631508,-77.3518246,1,1,2,1,20,20,false,1
D5,38.6631467370187,-77.3209308981028,4,4,2,20,20,20,false,3
D6,38.6631345480768,-77.2900372032168,,4,3,1,20,20,false,5
D7,38.6631142331807,-77.2591435223533,3,3,4,20,12,20,false,7
E1,38.6389914615204,-77.4444744760472,4,4,4,20,20,20,true,5
E2,38.6390117588892,-77.4135911956928,4,4,3,20,20,20,false,4
E3,38.6390239373147,-77.3827079013448,4,4,2,20,20,20,false,4
E4,38.6390279967906,-77.3518246,2,4,2,20,20,20,false,4
E5,38.6390239373147,-77.3209412986552,4,4,4,20,20,20,true,5
E6,38.6390117588892,-77.2900580043072,,3,2,2,20,20,false,5
E7,38.6389914615204,-77.2591747239528,,3,3,1,20,20,false,7
F1,38.614868689839,-77.444443311861,4,4,4,20,20,20,true,4
F2,38.6148889696922,-77.4135704195446,4,4,4,20,20,20,true,4
F3,38.6149011376084,-77.3826975132635,4,4,4,20,20,20,true,4
F4,38.6149051935811,-77.3518246,4,4,4,20,20,20,true,5
F5,38.6149011376084,-77.3209516867365,2,2,2,20,20,20,true,5
F6,38.6148889696922,-77.2900787804554,1,1,1,20,20,19,true,5
F7,38.614868689839,-77.259205888139,1,1,1,20,20,20,true,5
G1,38.5907459181363,-77.4444121850394,4,4,4,20,20,20,true,4
G2,38.5907661804858,-77.4135496683062,4,4,4,20,20,20,true,5
G3,38.5907783378997,-77.3826871376371,4,5,4,20,20,20,false,6
G4,38.5907823903717,-77.3518246,4,3,4,20,20,20,false,7
G5,38.5907783378997,-77.3209620623629,3,1,2,20,20,20,false,8
G6,38.5907661804858,-77.2900995316938,,1,1,1,20,20,false,8
G7,38.5907459181363,-77.2592370149606,2,1,2,21,20,20,false,8